N-term, time, date, conId, Current Price, Changes in Price (%), Time Average Bid, Time Average Ask, Last Bid Price, Last Ask Price, Bid-Ask Spread, Average Bid-Ask Spread, Current Volume, Average Volume, Volume Condition, Bid-Ask Spread Condition, Last Traded Condition, Order
86,12:30:00,20230131,578106878,614.5,-1.3643659711075442,616.5,623.5,579.5,595,15.5,7.59302325581395,0,0.988372093023254,-1,-1,-1,SELL
87,12:40:00,20230131,578106878,614.5,-1.3643659711075442,616.5,623.45,579.5,586,6.5,7.683908045977008,0,0.977011494252872,-1,0,-1,
88,12:50:00,20230131,578106878,617.5,-0.8828250401284109,617.95,623.5,579.5,585,5.5,7.670454545454542,2,0.965909090909089,1,0,-1,
89,13:00:00,20230131,578106878,617.5,-0.8828250401284109,617.15,623.5,579.5,582.5,3,7.646067415730334,3,0.977528089887639,1,1,0,
90,13:10:00,20230131,578106878,617.5,-0.8828250401284109,615.55,623,579.5,594.5,15,7.5944444444444414,2,0.999999999999999,1,-1,0,
91,13:20:00,20230131,578106878,619,-0.6420545746388443,613.95,620.9,577.5,590,12.5,7.675824175824173,2,1.01098901098901,1,-1,0,
92,13:30:00,20230131,578106878,620,-0.4815409309791332,613.8,622.7,578,582.5,4.5,7.728260869565215,3,1.02173913043478,1,0,0,
93,13:40:00,20230131,578106878,620,-0.4815409309791332,619,622.95,578,595,17,7.693548387096772,4,1.04301075268817,1,-1,0,
94,13:50:00,20230131,578106878,620,-0.4815409309791332,619.55,623,573.5,579.5,6,7.79255319148936,2,1.07446808510638,1,0,0,
95,14:00:00,20230131,578106878,620,-0.4815409309791332,620.55,623,573.5,579.5,6,7.773684210526315,3,1.08421052631579,1,0,-1,
96,14:10:00,20230131,578106878,620,-0.4815409309791332,619.25,623.45,573.5,577,3.5,7.755208333333332,2,1.10416666666667,1,1,0,
97,14:20:00,20230131,578106878,620,-0.4815409309791332,614,623.5,573.5,579,5.5,7.711340206185565,2,1.11340206185567,1,0,0,
98,14:30:00,20230131,578106878,622.5,-0.08025682182985554,615.15,623.5,572.5,577,4.5,7.68877551020408,6,1.12244897959184,1,0,0,
99,14:40:00,20230131,578106878,622.5,-0.08025682182985554,621,623,572.5,581.5,9,7.656565656565655,0,1.17171717171717,-1,0,0,
100,14:50:00,20230131,578106878,622.5,-0.08025682182985554,615.1,623,574,582,8,7.669999999999998,0,1.16,-1,0,0,
101,15:00:00,20230131,578106878,622.5,-0.08025682182985554,604,621.4,572.5,585,12.5,7.673267326732671,0,1.14851485148515,-1,-1,1,
102,09:30:00,20230201,578106878,622,-0.16051364365971107,601,609,588.5,598,9.5,7.720588235294115,1,1.13725490196079,0,0,1,
103,09:40:00,20230201,578106878,622,-0.16051364365971107,601,609,583.5,590,6.5,7.737864077669901,3,1.13592233009709,1,0,1,
104,09:50:00,20230201,578106878,616.5,-1.043338683788122,601,609,583.5,598,14.5,7.7259615384615365,14,1.15384615384616,1,-1,1,
105,10:00:00,20230201,578106878,621,-0.32102728731942215,601,608.8,590,598,8,7.790476190476189,2,1.27619047619048,1,0,1,
106,10:10:00,20230201,578106878,621,-0.32102728731942215,582.75,603.55,583.5,604,20.5,7.792452830188678,1,1.28301886792453,0,-1,1,
107,10:20:00,20230201,578106878,621,-0.32102728731942215,591.7,601.5,583.5,605,21.5,7.911214953271027,0,1.2803738317757,-1,-1,1,
108,10:30:00,20230201,578106878,621,-0.32102728731942215,581.55,601.5,583.5,605,21.5,8.037037037037036,0,1.26851851851852,-1,-1,1,
109,10:40:00,20230201,578106878,621,-0.32102728731942215,580.15,601.5,583.5,605,21.5,8.160550458715596,0,1.25688073394496,-1,-1,1,
110,10:50:00,20230201,578106878,621,-0.32102728731942215,573,601.5,583.5,605,21.5,8.281818181818181,0,1.24545454545455,-1,-1,1,
111,11:00:00,20230201,578106878,621,-0.32102728731942215,576.65,601.5,583.5,605,21.5,8.4009009009009,2,1.23423423423424,1,-1,1,
112,11:10:00,20230201,578106878,623.5,0.08025682182985554,573.5,601.5,583.5,605,21.5,8.517857142857144,1,1.24107142857143,0,-1,1,
113,11:20:00,20230201,578106878,623.5,0.08025682182985554,573,601.5,583.5,605,21.5,8.63274336283186,0,1.23893805309735,-1,-1,1,
114,11:30:00,20230201,578106878,623.5,0.08025682182985554,573,601.1,583.5,614,30.5,8.745614035087721,0,1.2280701754386,-1,-1,1,
115,11:40:00,20230201,578106878,623.5,0.08025682182985554,573,601,583.5,614,30.5,8.934782608695652,0,1.21739130434783,-1,-1,1,
116,11:50:00,20230201,578106878,623.5,0.08025682182985554,573,601,583.5,614,30.5,9.120689655172413,0,1.20689655172414,-1,-1,1,
117,12:00:00,20230201,578106878,623.5,0.08025682182985554,573,601,583.5,610,26.5,9.303418803418804,0,1.1965811965812,-1,-1,1,
118,12:10:00,20230201,578106878,621,-0.32102728731942215,590.75,601.4,583.5,610,26.5,9.449152542372882,3,1.18644067796611,1,-1,1,
119,12:20:00,20230201,578106878,621,-0.32102728731942215,592.65,603.7,583,610,27,9.592436974789916,0,1.20168067226892,-1,-1,1,
120,12:30:00,20230201,578106878,621,-0.32102728731942215,592,605,583,610,27,9.737499999999999,1,1.19166666666668,0,-1,1,
121,12:40:00,20230201,578106878,621,-0.32102728731942215,592,605,583,610,27,9.880165289256198,0,1.19008264462811,-1,-1,1,
122,12:50:00,20230201,578106878,620.5,-0.40128410914927765,592,605,583,610,27,10.020491803278688,7,1.18032786885247,1,-1,1,
123,13:00:00,20230201,578106878,622.5,-0.08025682182985554,585.3,605,596.5,610,13.5,10.158536585365852,4,1.22764227642278,1,0,1,
124,13:10:00,20230201,578106878,620,-0.4815409309791332,578.35,604.45,596.5,610,13.5,10.18548387096774,2,1.25000000000002,1,0,1,
125,13:20:00,20230201,578106878,620,-0.4815409309791332,584.55,603.5,596.5,610,13.5,10.211999999999998,0,1.25600000000002,-1,0,1,
126,13:30:00,20230201,578106878,619.5,-0.5617977528089888,596.55,604.55,596.5,610,13.5,10.238095238095237,4,1.24603174603177,1,0,1,
127,13:40:00,20230201,578106878,619.5,-0.5617977528089888,590,605,583,610,27,10.263779527559056,0,1.26771653543309,-1,-1,1,
